total_mentions,positive_mentions,negative_mentions,neutral_mentions,ticker,name,sentiment_score,from_date,to_date
83,38,10,35,BTC,Bitcoin,0.928,08182021,08182021
36,20,5,11,ETH,Ethereum,0.931,08182021,08182021
18,8,0,10,DOGE,Dogecoin,1.222,08182021,08182021
12,7,2,3,ADA,Cardano,0.875,08182021,08182021
11,2,6,3,XRP,Ripple,-0.273,08182021,08182021
7,1,0,6,SOL,Solana,1.071,08182021,08182021
5,1,3,1,BNB,Binance Coin,-0.4,08182021,08182021
3,2,1,0,BCH,Bitcoin Cash,0.5,08182021,08182021
3,0,1,2,MATIC,Polygon,0.167,08182021,08182021
3,0,2,1,DOT,Polkadot,-0.667,08182021,08182021
3,1,1,1,LTC,Litecoin,0.333,08182021,08182021
3,2,1,0,UNI,Uniswap,0.5,08182021,08182021
3,3,0,0,MOB,MobileCoin,1.5,08182021,08182021
3,3,0,0,AVAX,Avalanche,1.5,08182021,08182021
2,0,0,2,SUSHI,SushiSwap,1.0,08182021,08182021
2,2,0,0,1INCH,1inch,1.5,08182021,08182021
2,2,0,0,LINK,Chainlink,1.5,08182021,08182021
2,2,0,0,FTM,Fantom,1.5,08182021,08182021
2,2,0,0,IF,Impossible Finance,1.5,08182021,08182021
2,1,1,0,USDT,Tether,0.0,08182021,08182021
1,0,0,1,RELI,Relite Finance,1.0,08182021,08182021
1,0,0,1,BSV,Bitcoin SV,1.0,08182021,08182021
1,1,0,0,QUICK,QuickSwap,1.5,08182021,08182021
1,0,1,0,DGB,DigiByte,-1.5,08182021,08182021
1,0,0,1,REN,Ren,1.0,08182021,08182021
1,1,0,0,AR,Arweave,1.5,08182021,08182021
1,1,0,0,QNT,Quant,1.5,08182021,08182021
1,1,0,0,XMR,Monero,1.5,08182021,08182021
1,1,0,0,MXX,Multiplier,1.5,08182021,08182021
1,1,0,0,FIL,Filecoin,1.5,08182021,08182021
1,1,0,0,AAVE,Aave,1.5,08182021,08182021
1,1,0,0,LUNA,Terra,1.5,08182021,08182021
1,1,0,0,TASTE,TasteNFT,1.5,08182021,08182021
1,0,0,1,FLR,Flare Network,1.0,08182021,08182021
1,0,0,1,ATOM,Cosmos,1.0,08182021,08182021
1,1,0,0,CRO,Crypto.com Coin,1.5,08182021,08182021
1,0,1,0,SHIB,SHIBA INU,-1.5,08182021,08182021
1,1,0,0,AUDIO,Audius,1.5,08182021,08182021
1,0,0,1,XLM,Stellar Lumens,1.0,08182021,08182021
1,0,0,1,VET,VeChain,1.0,08182021,08182021
